QUEST_20150317_000001	Veuillez sélectionner l'utilisateur nécessitant une mise à jour de quête.	퀘스트 수정이 필요한 유저를 선택해주세요.				GM	
QUEST_20150317_000022	Cette tâche divine est peut-être un lourd fardeau, mais c'est quelque chose que tu dois porter.{nl}Peut-être qu'au cœur trouble de tes épreuves et tribulations, quelque chose adviendra.	그대에게 지워진 신성한 사명의 무게가 어깨를 짓누르겠지요.{nl}어쩌면 수 많은 시련과 고난의 진흙탕 속을 뒹굴게 될지도 모릅니다.{nl}				수정광산의 계시	
QUEST_20150317_000023	Néanmoins, nous seuls pouvons sauver ce monde.	하지만 당신만이 저와 이 세계를 구할 수 있어요.{nl}				여신 라이마	
QUEST_20150317_000024	J'ai transmis la prochaine révélation au premier Paladin. Il t'attendra dans le jardin fleuri le plus{nl}élevé.	다음 계시는 초대 팔라딘에게 맡겨 두었습니다.{nl}가장 드높은 화원에서 당신을 기다리겠습니다.				여신 라이마	
QUEST_20150317_000025	L'aura sombre est en effet désagréable... Mais si ce message vient vraiment de la Déesse Laima,{nl}alors je suis simplement émerveillé.	사악한 힘이나 의지는 전혀 느껴지지 않는군요.{nl}그렇다면 이 계시가 진짜 라이마 여신의.. 그저 놀랍습니다.				보코르 마스터	
QUEST_20150317_000026	Eh bien, tu devrais te dépêcher d'aller trouver Sire Uska. Il te dira où aller ensuite. Que la déesse{nl}bénisse ton destin...	자, 어서 우스카님께 돌아가세요.{nl}그분이라면 당신이 어디로 가야 할지를 알려줄 겁니다.{nl}당신의 앞날에 여신의 축복이 깃들기를..				보코르 마스터	
QUEST_20150317_000027	Veuillez sélectionner le Smart Gen souhaité.	원하는 스마트젠을 선택하세요.				선택	
QUEST_20150317_000028	William	윌리엄					
QUEST_20150317_000029	Le tarif est de 100 pièces d'argent. {nl}C'est moins cher que de traverser le territoire des monstres.	이용 요금은 100실버입니다.{nl}몬스터 한복판을 헤쳐가느니 차라리 이게 싸죠.					
QUEST_20150317_000030	Cyneburg	캔버그					
QUEST_20150317_000031	Cela fera 100 pièces d'argent. {nl}Cela couvrira les opérations, la main-d'œuvre et autres dépenses.	이용 요금은 100실버입니다.{nl}운영비, 인건비 등 여러 가지가 포함된 금액이지요.					
QUEST_20150317_000032	Hé, attends une minute. {nl}Tu sais bien qu'il t'en faut plus que ça...	공짜로는 좀.. 죄송합니다.{nl}아실만한 분이 더 그러시면..					
QUEST_20150317_000033	Ça ne va pas du tout ! {nl}Je ne peux pas travailler pour rien, même pour un Révélateur.	공짜로는 안된다니까요. {nl}아무리 계시자님이라도 되는 게 있고 안 되는 게 있는 법이지요.					
QUEST_20150317_000034	Marchand Itinérant	방랑 상인					
QUEST_20150317_000035	Comme les graines d'un pissenlit, je ne suis qu'un être qui suit le vent. Puisque nous nous{nl}sommes rencontrés d'une manière si curieuse, peut-être pourrais-tu m'accorder un instant{nl}pour regarder mes curiosités ?	이 가련한 몸, 소개하자면 한 줄기 바람에 이끌려 방랑하는 민들레 홀씨이외다.{nl}이렇게 만난 것도 기이한 인연인데 좋은 물건 한 번 구경해 보시겠소?				방랑 상인	
QUEST_20150317_000036	Cristina	크리스티나					
QUEST_20150317_000037	Bienvenue ! Tu cherches un compagnon de voyage, n'est-ce pas ? Tu ne trouveras pas de{nl}meilleur endroit pour un compagnon qu'ici !	어서 오세요.{nl}마음 맞는 친구를 찾으시나 보네요.{nl}여행엔 요 녀석들만큼 좋은 동반자는 찾기 힘들지요.				크리스티나	
QUEST_20150317_000038	Tu peux faire regarder tes compagnons combattre ou entraîner des attributs spéciaux. {nl}Gagne assez d'affection, et tu pourras même acheter du bel équipement !	컴패니언에게 당신이 싸우는 것을 옆에서 지켜 보게 하거나 특성 훈련을 시킬 수도 있어요.{nl}좀 더 애정이 가는 컴패니언이라면 멋진 장비를 사줄 수도 있겠지요.{nl}					
QUEST_20150317_000039	Augmenter l'affection de ton compagnon augmentera l'endurance de monture et l'esquive ! {nl}Alors, qu'en penses-tu ? Est-ce suffisant pour t'en faire envisager un ?	당신의 사랑을 받고 자란 컴패니언은 탑승자의 체력과 회피율을 높여줄 거예요.{nl}어때요. 이만 하면 멋진 당신의 동반자가 아닐까요?					
QUEST_20150317_000040	La boîte nécessite une clé correspondante.	상자에 맞는 열쇠가 필요합니다.					
QUEST_20150317_000041	Sélectionner la Quête	퀘스트 선택					
QUEST_20150317_000042	Modifier l'État de la Quête	퀘스트 상태변경				퀘스트 상태변경	
QUEST_20150317_000043	Forcer le démarrage ?	강제 시작?				강제 시작?	
QUEST_20150317_000044	Objets à supprimer	삭제할 아이템				None	
QUEST_20150317_000045	Sélectionner le GenType	GenType 선택				Basic	
QUEST_20150317_000046	Sélectionner les Coordonnées	좌표 선택				Basic	
QUEST_20150317_000047	Chevalier Titas	기사 티타스					
QUEST_20150317_000048	Si c'est le cas, va voir Commandant chevalier Uska à Klaipeda. Mais d'abord, j'ai une course{nl}importante à te confier, alors suis-moi.	맞다면 클라페다의 기사단장 우스카님을 찾아가게.{nl}하지만 그 전에 긴히 할 얘기가 있으니 따라오게.				기사 티타스	
QUEST_20150317_000049	Ce serait bien si je pouvais trouver un moment pour me détendre...	잠시 쉴 틈이 있으면 좋겠군.. 				장교 류다스	
QUEST_20150317_000050	Sparnas... n'est pas quelqu'un à prendre à la légère...	스파르나스..{nl}만만치 않은 상대..				장교 류다스	
QUEST_20150317_000051	Soldat Moody	병사 무디					
QUEST_20150317_000052	Occupons-nous de ce monstre avant de parler.	우선 이 몬스터를 처리하고 이야기하지요.				병사 무디	
QUEST_20150317_000053	Équipe d'Enquête Conjointe - Scott	합동조사단 스캇					
QUEST_20150317_000054	J'aspire à une époque où notre équipe ne serait plus nécessaire... Quelle époque paisible ce{nl}serait...	우리 합동조사단이 필요 없어지는 날이 빨리 왔으면 좋겠는데..{nl}아, 평화로운 세상 말이야. 하하..{nl}				합동조사단 스캇	
QUEST_20150317_000055	Je ne sais pas par où commencer. As-tu entendu quelque chose ?	처음부터 시작하려니 감이 잡히는 게 없네.{nl}혹시 넌 뭐 들은 건 없어?				합동조사단 스캇	
QUEST_20150317_000056	Sur ordre royal, nous sommes venus dans cette forêt pour enquêter sur d'étranges événements.{nl}Des témoins ont signalé quelque chose avec un grand visage et des doigts osseux. Qu'est-ce que{nl}cela pourrait bien être ?	우린 왕실의 명령으로 이 숲에서 벌어지고 있는 기이한 사건을 조사하러 왔어.{nl}목격자들 말로는 커다란 얼굴과 앙상한 손가락을 보았다는군.{nl}도대체 그게 뭐람?				합동조사단 스캇	
QUEST_20150317_000057	Autrefois, des pèlerins traversaient cette forêt. Mais maintenant, à cause de la présence des{nl}monstres, seuls des soldats se rassemblent ici.	과거에는 순례자들이 이 숲을 거쳐 가는 일도 있었죠.{nl}하지만 지금은 몬스터 때문에 병사들만 가득하네요.				부관 폴리나	
QUEST_20150317_000058	Jusqu'à il y a quatre ans, les déesses nous bénissaient souvent de signes de leur présence. Mais{nl}maintenant, même nos prières combinées n'apportent pas le moindre frémissement. Nous{nl}ont-elles vraiment abandonnés ?	4년 전까지만 해도 여신들께선 종종 모습을 드러내셨죠.{nl}그런데 지금은 아무리 기도를 드려도 미동조차 없으시네요.{nl}정말 우리를 버리신 걸까요?				부관 폴리나	
QUEST_20150317_000059	Vacenin se rend personnellement dans chaque région pour régler les affaires. Il se sent mal à{nl}l'aise quand il reste en ville.	바세닌님께서는 각 지역을 직접 오가면서 일을 처리하십니다.{nl}도시에 계시면 답답하시다면서 말이죠.				부관 폴리나	
QUEST_20150317_000060	Comptes-tu rester ou t'enrôler ? Si cela t'intéresse, je te recommanderai avec plaisir aux{nl}commandants en chef.	혹시 여기 계속 머무르시거나 군인이 되실 생각은 없으십니까?{nl}생각이 있다면 제가 상부에 잘 말해보겠습니다.				부관 폴리나	
QUEST_20150317_000061	Ne baisse pas ta garde. Les monstres peuvent apparaître à tout moment, n'importe où.	언제 어디서 몬스터가 덤빌지 모르니 방심할 수 없어요.				병사 하이란스	
QUEST_20150317_000062	Où diable la Déesse Zemyna est-elle passée...	제미나 여신께선 도대체 어디로 가셨는지..				병사 블락	
QUEST_20150317_000063	Comment appelles-tu donc cela ?	이게 다 도대체 뭐랍니까.				병사 블락	
QUEST_20150317_000064	Je pense que Zemyna, la déesse de la terre, serait plus affligée que quiconque.	 누구보다도 대지의 여신인 제미나님께서 슬퍼하실 겁니다.				병사 블락	
QUEST_20150317_000065	Les Pokubu ont toujours été là, mais on aperçoit parfois aussi des monstres inconnus.	포쿠부는 예전에도 본 적이 있죠.{nl}하지만 이 녀석 말고도 가끔 알 수 없는 몬스터도 나타납니다.				병사 요크	
QUEST_20150317_000066	J'y ai réfléchi. Il ne fait aucun doute que les déesses nous ont tous abandonnés. Si ce n'était pas le{nl}cas, il n'y aurait pas autant de monstres.	제 생각에는요. 여신께서 우리를 버린 게 틀림없어요.{nl}그게 아니라면 몬스터가 저렇게 많을 리 없죠.				병사 요크	
QUEST_20150317_000067	On dit qu'un homme béni de la force de la déesse vit dans la forêt.	이 근방 숲에 여신의 힘을 받은 사람이 산다는데..				병사 요크	
QUEST_20150317_000068	Je veux rentrer chez moi.	고향으로 돌아가고 싶습니다.				병사 무디	
QUEST_20150317_000069	Le nombre de monstres ici ne semble pas diminuer, peu importe combien nous en tuons.	여기서 아무리 몬스터를 잡아도 도통 줄어들지 않습니다.				병사 무디	
QUEST_20150317_000070	Julian t'a-t-il envoyé, Révélateur ?	계시자라니, 줄리안이 보낸 거요?					
QUEST_20150317_000071	Je suis stupéfait. Tu es la première personne que je rencontre ici depuis plusieurs années.	그럴 리가 없어요.{nl}최근 몇 년간 이 숲에서 만난 사람은 당신이 처음인걸요.{nl}				오래된 부엉이 조각상	
QUEST_20150317_000072	Je vais te montrer ce que j'ai vu.	제가 본 것을 보여드릴게요.				오래된 부엉이 조각상	
QUEST_20150317_000073	S'il te plaît, oublie-moi et pars simplement. {nl}Les fleurs semblent pousser magnifiquement.	내 걱정은 말고 그냥 돌아가시오.{nl}아, 예쁜 꽃들이 몰려오는구먼.					
QUEST_20150317_000074	Lena	레나					
QUEST_20150317_000075	S'il te plaît, raconte-moi l'histoire de ta vie. Nous suivons la volonté de Vaivora et consignons{nl}tout ce qui existe dans ce monde.	당신의 소중한 경험담을 들려주세요.{nl}저희 교단에서는 바이보라님의 의지에 따라 세상의 모든 것을 기록하고 있답니다.				레나	
QUEST_20150317_000076	Henrika	헤느리카					
QUEST_20150317_000077	Bonjour ! Bienvenue à la succursale de Klaipeda de l'Association de magie. Nous nous{nl}spécialisons dans l'étude des phénomènes étranges qui se produisent lorsque des objets{nl}spéciaux sont combinés.	안녕하세요. 마법협회 클라페다 지부입니다.{nl}저희는 특별한 물건들이 모일 때 벌어지는 신비한 현상에 대해 연구하고 있답니다.				헤느리카	
QUEST_20150317_000078	Il n'y a rien à voir ici à part de la vapeur et des Vubbe. Attends, qu'est-ce que cette chose au{nl}grand visage qui approche ?!	여긴 아무리 봐도 습기랑 부베밖에 없는 것 같아.{nl}이런 데에서 커다란 얼굴이라니, 도대체 뭐가 튀어나왔다는 걸까?				합동조사단 프레이	
QUEST_20150317_000079	La terre a aussi besoin de notre attention. Le monde n'est pas encore ruiné... n'est-ce pas ?	나라도 정신 차려야지.{nl}아직 세상이 망한 것은 아니니.. 그렇지?				합동조사단 유커트	
QUEST_20150317_000080	Si nous continuons à faire preuve de courtoisie, alors nous connaissons encore le chemin d'une{nl}vie juste. Nous devrions tous nous demander si ce chaos n'est pas de notre faute, pour avoir tout{nl}attendu des déesses.	호의가 계속되면 그게 권리인 줄 안다는 말이 있지.{nl}어쩌면 우리가 너무 여신께만 기댄 게 화를 부른 건 아닐까 생각돼.				합동조사단 유커트	
QUEST_20150317_000081	Panneau d'Affichage	알림판					
QUEST_20150317_000082	Bienvenue dans la ville minière de Klaipeda !	천혜의 광산도시 클라페다에 오신 것을 환영합니다!				알림판	
QUEST_20150317_000083	Veuve Indifférente	담담한 미망인					
QUEST_20150317_000084	Je ne suis pas sûr de tout comprendre, mais ce dont je suis certain, c'est que les déesses n'ont pas{nl}disparu toutes en même temps.	이유는 저도 잘 몰라요. {nl}하지만 확실한 건, 여신들께선 한꺼번에 사라지신 게 아니라는 거에요.				담담한 미망인	
QUEST_20150317_000085	La première à disparaître fut la Déesse Gabija. J'ai entendu dire que c'était il y a très longtemps.{nl}Une par une, en commençant par Gabija, elles ont cessé de répondre.	제일 먼저 자취를 감추신 분은 가비야 여신이라고 해요.{nl}아주 오래 전의 일이라고 들었어요.{nl}가비야 여신을 시작으로 한 분씩 응답이 없으셨다고 해요.{nl}				담담한 미망인	
QUEST_20150317_000086	La Déesse Vakarine nous a quittés peu avant Medzio Diena. Zemyna et Ausrine ont toutes deux{nl}disparu peu après. Cela fait déjà quatre ans.	바카리네 여신께선 신수의 날 전에 사라지셨다고 하셨고요.{nl}마지막엔 제미나 여신과 아우슈리네 여신을 끝으로 모든 여신께서 사라지시고 말았죠.{nl}그게 벌써 4년 전 일이네요. {nl}				담담한 미망인	
QUEST_20150317_000087	C'est exact. La plus étrange de toutes fut la Déesse Laima. {nl}Personne ne sait vraiment quand elle a disparu.	맞아요. 제일 이상한 건 라이마 여신이세요.{nl}언제 사라지신 건지 아무도 모르거든요.{nl}					
QUEST_20150317_000088	D'ailleurs, Laima n'est-elle pas la déesse du destin et de la prescience ? {nl}Elle savait probablement tout de cela.	게다가 라이마께선 운명과 예지의 여신이시잖아요? {nl}아마 전부 알고 계시지 않았을까요?					
QUEST_20150317_000089	Soldat au Repos	휴식중인 병사					
QUEST_20150317_000090	J'étais autrefois un aventurier comme toi. Puis j'ai pris une flèche dans le genou...	저도 왕년에는 당신처럼 잘 나가는 모험가였지만 무릎에 화살을 맞아서 그만..{nl}				휴식중인 병사	
QUEST_20150317_000091	Peu importe. Venez m'affronter, bande de monstres !	그래도 상관없습니다. 몬스터따위 나와 보라지요!{nl}				휴식중인 병사	
QUEST_20150317_000092	Une déesse est apparue dans mon rêve à l'instant... Elle était si envoûtante...	저번엔 여신께서 나오는 꿈을 꾸었는데.. {nl}얼마나 황홀하던지..{nl}				휴식중인 병사	
QUEST_20150317_000093	Malgré tout, j'ai le devoir de défendre le royaume. C'est pour cela que je suis ici.	하지만 왕국을 지켜야 하는 의무가 있기 때문에 지금 여기 있는 겁니다.				휴식중인 병사	
QUEST_20150317_000094	Uska est un vieil ami à moi.	우스카라면 제 오랜 친구였지요.{nl}				휴식중인 병사	
QUEST_20150317_000095	Nous avons passé nos épreuves pour devenir chevaliers ensemble. Uska est arrivé où il en est{nl}aujourd'hui grâce à mon soutien sincère. Oh, quelle époque folle... Ce serait bien de le revoir.	저랑 같이 기사 시험을 봤는데, 제 헌신적인 도움으로 지금의 우스카가 될 수 있었던 거지요.{nl}아아, 그땐 참 재밌었는데.. 보고 싶다, 우스카!				휴식중인 병사	
QUEST_20150317_000096	Ne crois juste pas tout ce qu'il dit. {nl}Il était connu pour être un sacré frimeur chez nous.	저 친구 말 너무 믿지 않는게 좋습니다.{nl}우리 동네 유명한 허풍쟁이였으니까요.{nl}					
QUEST_20150317_000097	Moi ? Je trouve ça amusant, alors je le laisse tranquille.	저요? 그냥 재밌으니까 내버려 두는 거지요.				휴식중인 병사	
QUEST_20150317_000098	Euh, attends. Je retire ce que j'ai dit à propos de ne pas croire tout ce qu'il dit.	음.. 너무 믿지 말란 말 취소하지요.{nl}				휴식중인 병사	
QUEST_20150317_000099	Tout ce qui sort de sa bouche est un mensonge. Ne lui fais pas confiance.	전부 다 거짓말이니까 저 녀석 입에서 나오는 모든 말은 믿지 마세요.				휴식중인 병사	
QUEST_20150317_000100	Garde de Siauliai	샤울레이 경비병					
QUEST_20150317_000101	Il y a des monstres au-delà de ce point. Sois prudent.	여기서부턴 몬스터가 나오니 위험한 행동은 자제하시길 바랍니다.				샤울레이 경비병	
QUEST_20150317_000102	Ces bois ne sont pas exactement paisibles, mais c'est mieux qu'ailleurs. Il existe des forêts où ne{nl}rôdent que des âmes.	여기 숲도 썩 평화로운 건 아닙니다만, 그래도 다른 지역보단 나을 겁니다.{nl}어떤 숲은 사람은 없고 영혼만 돌아다닌다고 하더라고요.				샤울레이 경비병	
QUEST_20150317_000103	C'est ainsi que sont appelées les personnes ayant vu une déesse dans leurs rêves.	당신처럼 여신께서 나오는 꿈을 꿨다는 사람들을 모두 계시자라고 불러요.{nl}				클라페다 주민	
QUEST_20150317_000104	Au début, je pensais que les visions des Révélateurs étaient de la folie. Après tout, les déesses ont{nl}disparu depuis longtemps.	처음엔 계시자들을 보고 다들 정신이 나갔다고 생각했었어요.{nl}여신께서 자취를 감추신 지 오래되었으니까요.{nl}				클라페다 주민	
QUEST_20150317_000105	N'est-il pas vrai que les déesses n'ont répondu à aucune de nos prières depuis Medzio Diena il y{nl}a quatre ans ?	4년 전의 신수의 날에도 우리들의 기도에 아무런 응답이 없으셨잖아요?				클라페다 주민	
QUEST_20150317_000106	Tu peux trouver des maîtres de classe dans tout le royaume. Pourquoi ne pas leur rendre visite{nl}et apprendre ce que tu peux ?	왕국 곳곳에 각 직업의 마스터들이 계십니다.{nl}그분들을 찾아가 가르침을 받는 건 어떨까요?				클라페다 경비병	
QUEST_20150317_000107	Tu ne connais pas Medzio Diena ? Tu dois venir de vraiment très loin. Il y a quatre ans, les{nl}choses ont dégénéré dans la capitale.	모르세요? 진짜로 외진 곳에서 오셨나 보네요.{nl}4년 전에, 수도의 중앙에서 신수가 솟아오르면서 폭주한 일 말이에요.{nl}				클라페다 주민	
QUEST_20150317_000108	Ce fut un désastre... De nombreuses personnes furent blessées ou tuées. Des créatures autrefois{nl}douces sont devenues féroces et de nombreux nouveaux monstres sont apparus.	그 재앙으로 인해 정말 많은 사람들이 죽거나 다쳤죠.{nl}얌전했던 몬스터들도 흉폭해지고 새로운 몬스터도 많이 생겨났어요.{nl}				클라페다 주민	
QUEST_20150317_000109	Si tu es encore intéressé par ce qui s'est passé lors de Medzio Diena il y a quatre ans, essaie de{nl}visiter Klaipeda.	4년 전의 신수의 날이 더 궁금하시다면 클라페다로 가 보세요.{nl}그 때 살아남은 사람들 중에 클라페다로 피난 온 사람들이 꽤 많으니까요.				클라페다 주민	
QUEST_20150317_000110	Sentinelle des Bois de l'Est	동쪽 숲 경계병					
QUEST_20150317_000111	Te diriges-tu vers le Bois de l'est ? Il ne faut pas ! C'est bien trop dangereux !	동쪽 숲으로 들어가시려는 겁니까? {nl}절대 가지 마세요. 위험합니다!{nl}				동쪽 숲 경계병	
QUEST_20150317_000112	Zut, ces créatures obstinées nous ont poursuivis jusqu'ici !	윽, 이 끈질긴 놈들 여기까지 쫓아오다니..!!				동쪽 숲 경계병	
QUEST_20150317_000113	Ces cris... Nous sommes attaqués !	이 비명소리는.. 습격입니다!					
QUEST_20150317_000114	Consignes de Sécurité	안전 수칙					
QUEST_20150317_000115	1. Seul le personnel autorisé peut entrer. {nl}2. Suivez toujours les directives du superviseur de la mine.	1. 허가받은 인원 외엔 절대 출입 금지.{nl}2. 반드시 광산 소장의 인솔 하에 움직일 것.{nl}				안전 수칙	
QUEST_20150317_000116	3. Ne vous approchez pas des zones fermées. {nl}4. Tout individu suspect doit être signalé aux chevaliers de Klaipeda.	3. 폐쇄된 구역은 절대 접근 금지. {nl}함부로 접근하려는 자를 발견 시 클라페다 기사단에 신고하시오.				안전 수칙	
QUEST_20150317_000117	Soldat de la Base d'Approvisionnement	보급기지 병사					
QUEST_20150317_000118	Je n'ai jamais participé à un vrai combat, alors je suis un peu nerveux.	실전에 익숙하지 않아 긴장됩니다.				보급기지 병사	
QUEST_20150317_000119	Sentinelle de la Ferme	농장 경계병					
QUEST_20150317_000120	Mon collègue est en plein combat au Village des mineurs. J'ai pensé aller l'aider, mais le Bois de{nl}l'est est aussi en difficulté, alors tout ce que je peux faire, c'est m'inquiéter.	제 동료는 광산 마을에서 교전 중입니다.{nl}생각 같아선 지원을 가고 싶지만 동쪽 숲까지 난리이니 그저 걱정입니다.				농장 경계병	
QUEST_20150317_000121	Je pense que cette mission m'a montré assez de monstres pour toute une vie. Avant, ce n'était{nl}que des groupes de Vubbe.	이번 임무로 평생 마주칠 몬스터는 실컷 본 것 같습니다.{nl}기껏해야 부베 정도나 몰려 다녔죠.				농장 경계병	
QUEST_20150317_000122	Les Chupacabra affectionnent les cours d'eau et la végétation luxuriante de la région nord.	츄파카브라들은 주로 위쪽의 개울과 수풀이 우거진 곳을 좋아한다고 합니다.					
QUEST_20150317_000123	Capitaine de la Garde de Klaipeda	클라페다 경비병 대장					
QUEST_20150317_000124	Tu es le...	당신이 바로..				클라페다 경비병 대장	
QUEST_20150317_000125	On dirait que tu peux voir la forêt supérieure d'ici. {nl}Essaie de ne pas t'attirer d'ennuis.	여기서 숲 위쪽의 깊숙한 곳에서 보았다고 하더군.{nl}혹시 모르니 너무 자극하진 말고.					
QUEST_20150317_000126	Vous ne possédez pas l'objet de quête requis. Voulez-vous vraiment continuer ?	퀘스트에 필요한 아이템이 없습니다. 생성 후 진행 하시겠습니까?				QuestModify	
QUEST_20150317_000127	Fille de Klaipeda	클라페다 소녀					
QUEST_20150317_000128	Mon voisin était autrefois chasseur de monstres. Il est retraité maintenant. C'est devenu{nl}extrêmement dangereux.	저 아저씨는 옆집에 사시는 분인데요, 예전엔 몬스터 사냥꾼이셨대요.{nl}하지만 지금은 그만 두셨대요. 너무 흉폭해서 위험하대요.				클라페다 소녀	
QUEST_20150317_000129	Ce serait bien si la présence de tous ces Révélateurs signifiait que les déesses sont de retour.	계시자들이 나타났다는게 여신께서 돌아오신다는 징조라면 참 좋을 텐데요.					
QUEST_20150317_000130	C'est peut-être stupide d'espérer le retour de la déesse, mais c'est mieux que rien.	여신께만 기대는 건 바보 같은 짓이지만 기댈 곳도 없어지는 것보단 나은 것 같습니다.				클라페다 경비병	
QUEST_20150317_000131	Dame de Klaipeda	클라페다 귀부인					
QUEST_20150317_000132	Nous pouvons encore cultiver la terre et avoir un foyer chaleureux où nous reposer. Je croirai{nl}toujours que les déesses sont quelque part dans le monde.	아직도 땅에선 작물들이 자라나고 집에선 따뜻하게 불을 피울 수 있어요.{nl}저는 아직도 여신께서 어딘가에 반드시 계실 거라고 믿고 있습니다.				클라페다 귀부인	
QUEST_20150317_000133	Garde la foi. Les déesses pourraient encore nous envoyer un Sauveur.	기도하세요.{nl}여신께서 우리를 구원해 줄 누군가를 보내주실 겁니다.				클라페다 귀부인	
QUEST_20150317_000134	Maître Hoplite	하플라이트 마스터					
QUEST_20150317_000135	Si l'épée est un symbole de pouvoir, alors la lance est celui de la destruction pure. Pouvoir ou{nl}destruction - lequel choisirais-tu sur le champ de bataille ?	검이 권위의 상징이라면 창은 순수한 살상 무기 그 자체입니다.{nl}권위와 무기. 만약 당신이 전쟁터에 있다면 어떤 것을 드시겠습니까?				하플라이트 서브 마스터	
QUEST_20150317_000136	Ouvrier Machine	기계 제작 장인					
QUEST_20150317_000137	Même avec le monde aussi chaotique qu'il l'est, nous ne pouvons pas arrêter de travailler. Cela{nl}fait quatre ans. N'est-il pas temps de faire la paix avec le passé et de repartir à zéro ?	아무리 세상이 이지경이라도 일을 놓을 순 없소.{nl}이제 4년이나 흘렀으니 마음을 추스리고 다시 시작해야하지 않겠소?				기계 제작 장인	
QUEST_20150317_000138	Klaipeda est une ville qui vit de son activité minière. Avec Medzio Diena, nous devrions nous{nl}atteler à planter des arbres ou à les couper.	클라페다는 광산으로 먹고 사는 도시요.{nl}신수의 날 따위로 우리가 일을 놓는다면 아마 나무나 깎아서 생활해야 할 거요.				기계 제작 장인	
