INTL_20160419_000011	Utilisez pour obtenir 455 TP.	사용 시 455 TP를 획득합니다.				
INTL_20160419_000012	Utilisez pour obtenir 266 TP.	사용 시 266 TP를 획득합니다.				
INTL_20160419_000013	Utilisez pour obtenir 112 TP.	사용 시 112 TP를 획득합니다.				
INTL_20160419_000014	Clic droit pour obtenir les objets suivants :{nl} - 455 TP{nl} - Token (60 jours){nl} - Accessoire de cheveux - Poupée Popolion{nl} - Accessoire de cheveux - Poupée Hanaming{nl} - Bon de compagnon Hoglan{nl} - Potion de réinitialisation de stats{nl} - Potion de réinitialisation de Skills{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 455 TP{nl} - 토큰(60일){nl} - 헤어 악세서리 - 포포리온 인형{nl} - 헤어 악세서리 - 하나밍 인형{nl} - 호글란 컴패니언 교환권{nl} - 스탯초기화 포션{nl} - 스킬 초기화 포션{nl}	ETC_20160320_021185	Clic droit pour obtenir les objets suivants :{nl} - 650 TP{nl} - Token (60 jours){nl} - Accessoire de cheveux - Poupée Popolion{nl} - Accessoire de cheveux - Poupée Hanaming{nl} - Bon de compagnon Hoglan{nl} - Potion de réinitialisation de stats{nl} - Potion de réinitialisation de Skills{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 650 TP{nl} - 토큰(60일){nl} - 헤어 악세서리 - 포포리온 인형{nl} - 헤어 악세서리 - 하나밍 인형{nl} - 호글란 컴패니언 교환권{nl} - 스탯초기화 포션{nl} - 스킬 초기화 포션{nl}	
INTL_20160419_000015	Clic droit pour obtenir les objets suivants :{nl} - 266 TP{nl} - Token (30 jours){nl} - Accessoire de cheveux - Poupée Popolion{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 266 TP{nl} - 토큰 (30일){nl} - 헤어 악세서리 - 포포리온 인형{nl}	ETC_20160320_021189	Clic droit pour obtenir les objets suivants :{nl} - 380 TP{nl} - Token (60 jours){nl} - Accessoire de cheveux - Poupée Popolion{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 380 TP{nl} - 토큰 (30일){nl} - 헤어 악세서리 - 포포리온 인형{nl}	
INTL_20160425_000016	Applique les avantages Token à tous vos personnages sur le serveur pendant 60 jours. Clic droit pour utiliser.{nl}[Avantages Token]{nl} - Possibilité d'apprendre des attributs instantanément{nl} - Frais de commission du Marché réduits (30 % {img white_right_arrow 16 16} 10 %){nl} - Possibilité de mettre en vente jusqu'à 5 objets sur le Marché{nl} - +3 de déplacement du personnage{nl} - +20 % d'EXP en chassant des monstres{nl} - Possibilité d'utiliser les gestes Premium{nl} - Nombre maximum de bonus augmenté{nl} - Possibilité d'utiliser l'échange personnel jusqu'à 60 fois	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능	INTL_20160326_000005	Accorde les avantages Token à tous vos personnages sur le serveur pendant 60 jours. Clic droit pour utiliser.{nl}[Avantages Token]{nl} - Possibilité d'apprendre jusqu'à 2 attributs simultanément{nl} - Frais de commission du Marché réduits (30 % {img white_right_arrow 16 16} 10 %){nl} - Possibilité de mettre en vente jusqu'à 5 objets sur le Marché{nl} - +3 de vitesse de déplacement du personnage{nl} - +30 % d'EXP en chassant des monstres{nl}(Se cumule avec l'effet des Tome d'XP){nl} - Possibilité d'utiliser les gestes Premium{nl} - Nombre maximum de bonus augmenté{nl} - Possibilité d'utiliser l'échange personnel jusqu'à 60 fois	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능	
INTL_20160425_000017	Applique les avantages du Token à tous vos personnages du serveur pendant 30 jours. Clic droit pour utiliser.{nl}[Avantages du Token]{nl} - Permet d'apprendre les attributs instantanément{nl} - Commission du Marché réduite (30 % {img white_right_arrow 16 16} 10 %){nl} - Permet de mettre en vente jusqu'à 5 objets sur le Marché{nl} - +3 à la vitesse de déplacement du personnage{nl} - +30 % d'EXP en chassant les monstres{nl} - Permet d'utiliser les Gestes Premium{nl} - Augmente le nombre maximum de buffs{nl} - Permet d'utiliser le Commerce personnel jusqu'à 30 fois{nl} - 1 entrée d'instance supplémentaire pour les missions et donjons	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 30회 가능{nl} - 개인 거래 횟수 30회{nl} - 미션,던전 1회 추가입장	ETC_20160320_021192	Accorde les avantages du Token à tous vos personnages du serveur pendant 30 jours. Clic droit pour utiliser.{nl}[Avantages du Token]{nl} - Permet d'apprendre jusqu'à 2 attributs simultanément{nl} - Commission du Marché réduite (30 % {img white_right_arrow 16 16} 10 %){nl} - Permet de mettre en vente jusqu'à 5 objets sur le Marché{nl} - +3 à la vitesse de déplacement du personnage{nl} - +30 % d'EXP en chassant les monstres{nl}(Se cumule avec l'effet des Tome d'XP){nl} - Permet d'utiliser les Gestes Premium{nl} - Augmente le nombre maximum de buffs{nl} - Permet d'utiliser le Commerce personnel jusqu'à 30 fois{nl} - 1 entrée d'instance supplémentaire pour les missions et donjons	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 30회 가능{nl} - 개인 거래 횟수 30회{nl} - 미션,던전 1회 추가입장	
INTL_20160425_000018	Applique les avantages Token à tous vos personnages sur le serveur pendant 60 jours. Clic droit pour utiliser.{nl}[Avantages Token]{nl} - Possibilité d'apprendre des attributs instantanément{nl} - Frais de commission du Marché réduits (30 % {img white_right_arrow 16 16} 10 %){nl} - Possibilité de mettre en vente jusqu'à 5 objets sur le Marché{nl} - +3 de déplacement du personnage{nl} - +30 % d'EXP en chassant des monstres{nl} - Possibilité d'utiliser les gestes Premium{nl} - Nombre maximum de bonus augmenté{nl} - Possibilité d'utiliser l'échange personnel jusqu'à 60 fois{nl} - 1 entrée d'instance supplémentaire pour les missions et donjons	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 미션,던전 추가 1회 추가입장	ETC_20160320_021194	Accorde les avantages du Token à tous vos personnages du serveur pendant 30 jours. Clic droit pour utiliser.{nl}[Avantages du Token]{nl} - Permet d'apprendre jusqu'à 2 attributs simultanément{nl} - Commission du Marché réduite (30 % {img white_right_arrow 16 16} 10 %){nl} - Permet de mettre en vente jusqu'à 5 objets sur le Marché{nl} - +3 à la vitesse de déplacement du personnage{nl} - +30 % d'EXP en chassant les monstres{nl}(Se cumule avec l'effet des Tome d'XP){nl} - Permet d'utiliser les Gestes Premium{nl} - Augmente le nombre maximum de buffs{nl} - Permet d'utiliser le Commerce personnel jusqu'à 60 fois{nl} - 1 entrée d'instance supplémentaire pour les missions et donjons	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 미션,던전 추가 1회 추가입장	
INTL_20160426_000019	Accorde les avantages Token à tous vos personnages sur le serveur pendant 60 jours. Clic droit pour utiliser.{nl}[Avantages Token]{nl} - Possibilité d'apprendre jusqu'à 2 attributs simultanément{nl} - Frais de commission du Marché réduits (30 % {img white_right_arrow 16 16} 10 %){nl} - Possibilité de mettre en vente jusqu'à 5 objets sur le Marché{nl} - +3 de vitesse de déplacement du personnage{nl} - +30 % d'EXP en chassant des monstres{nl}(Se cumule avec l'effet des Tome d'XP){nl} - Possibilité d'utiliser les gestes Premium{nl} - Nombre maximum de bonus augmenté{nl} - Possibilité d'utiliser l'échange personnel jusqu'à 60 fois{nl}	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능	INTL_20160425_000016	Applique les avantages Token à tous vos personnages sur le serveur pendant 60 jours. Clic droit pour utiliser.{nl}[Avantages Token]{nl} - Possibilité d'apprendre des attributs instantanément{nl} - Frais de commission du Marché réduits (30 % {img white_right_arrow 16 16} 10 %){nl} - Possibilité de mettre en vente jusqu'à 5 objets sur le Marché{nl} - +3 de déplacement du personnage{nl} - +20 % d'EXP en chassant des monstres{nl} - Possibilité d'utiliser les gestes Premium{nl} - Nombre maximum de bonus augmenté{nl} - Possibilité d'utiliser l'échange personnel jusqu'à 60 fois	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능	
INTL_20160426_000020	Applique les avantages du Token à tous vos personnages du serveur pendant 30 jours. Clic droit pour utiliser.{nl}[Avantages du Token]{nl} - Permet d'apprendre les attributs instantanément{nl} - Commission du Marché réduite (30 % {img white_right_arrow 16 16} 10 %){nl} - Permet de mettre en vente jusqu'à 10 objets sur le Marché{nl} - +3 à la vitesse de déplacement du personnage{nl} - +30 % d'EXP en chassant les monstres{nl} - Permet d'utiliser les Gestes Premium{nl} - Augmente le nombre maximum de buffs{nl} - Permet d'utiliser le Commerce personnel jusqu'à 30 fois{nl} - 1 entrée d'instance supplémentaire pour les missions et donjons	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 30회 가능{nl} - 개인 거래 횟수 30회{nl} - 미션,던전 1회 추가입장	INTL_20160425_000017	Applique les avantages du Token à tous vos personnages du serveur pendant 30 jours. Clic droit pour utiliser.{nl}[Avantages du Token]{nl} - Permet d'apprendre les attributs instantanément{nl} - Commission du Marché réduite (30 % {img white_right_arrow 16 16} 10 %){nl} - Permet de mettre en vente jusqu'à 5 objets sur le Marché{nl} - +3 à la vitesse de déplacement du personnage{nl} - +30 % d'EXP en chassant les monstres{nl} - Permet d'utiliser les Gestes Premium{nl} - Augmente le nombre maximum de buffs{nl} - Permet d'utiliser le Commerce personnel jusqu'à 30 fois{nl} - 1 entrée d'instance supplémentaire pour les missions et donjons	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 30회 가능{nl} - 개인 거래 횟수 30회{nl} - 미션,던전 1회 추가입장	
INTL_20160426_000021	Accorde les avantages Token à tous vos personnages sur le serveur pendant 60 jours. Clic droit pour utiliser.{nl}[Avantages Token]{nl} - Possibilité d'apprendre jusqu'à 2 attributs simultanément{nl} - Frais de commission du Marché réduits (30 % {img white_right_arrow 16 16} 10 %){nl} - Possibilité de mettre en vente jusqu'à 10 objets sur le Marché{nl} - +3 de vitesse de déplacement du personnage{nl} - +30 % d'EXP en chassant des monstres{nl}(Se cumule avec l'effet des Tome d'XP){nl} - Possibilité d'utiliser les gestes Premium{nl} - Nombre maximum de bonus augmenté{nl} - Possibilité d'utiliser l'échange personnel jusqu'à 60 fois{nl} - 1 entrée d'instance supplémentaire pour les missions et donjons	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 미션,던전 추가 1회 추가입장	INTL_20160425_000018	Applique les avantages Token à tous vos personnages sur le serveur pendant 60 jours. Clic droit pour utiliser.{nl}[Avantages Token]{nl} - Possibilité d'apprendre des attributs instantanément{nl} - Frais de commission du Marché réduits (30 % {img white_right_arrow 16 16} 10 %){nl} - Possibilité de mettre en vente jusqu'à 5 objets sur le Marché{nl} - +3 de déplacement du personnage{nl} - +30 % d'EXP en chassant des monstres{nl} - Possibilité d'utiliser les gestes Premium{nl} - Nombre maximum de bonus augmenté{nl} - Possibilité d'utiliser l'échange personnel jusqu'à 60 fois{nl} - 1 entrée d'instance supplémentaire pour les missions et donjons	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 미션,던전 추가 1회 추가입장	
INTL_20160512_000022	Utilisez pour obtenir les objets suivants :{nl} - 190 TP{nl} - Token : 15 jours{nl} - 20x PV hautement concentrés & Potion de PM{nl} - 15x Cristal d'âme{nl} - 15x Mégaphone{nl} - 15x Parchemin de téléportation{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 190 TP{nl} - 토큰 - 증정용 (15일){nl} - 고농축 HP/SP포션 20개{nl} - 소울크리스탈 15개{nl} - 확성기 15개{nl} - 워프주문서 15개{nl}				
INTL_20160512_000023	Utilisez pour obtenir 190 TP.	사용 시 190 TP를 획득합니다.				
INTL_20160512_000024	Utilisez pour obtenir les objets{nl}suivants :{nl} - Token : 30 jours{nl} - 4x Parchemin d'enchantement{nl} - 5x Bon de réinitialisation de donjon{nl}instancié{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 토큰 (30일){nl} - 마법 부여 스크롤 X 4{nl} - 인던 입장 횟수 초기화권 X 5{nl}				
INTL_20160728_000025	Applique les avantages du Token à tous vos personnages du serveur pendant 30 jours. Clic droit pour utiliser.{nl}[Avantages du Token]{nl} - Permet d'apprendre les attributs instantanément{nl} - Commission du Marché réduite (30 % {img white_right_arrow 16 16} 10 %){nl} - Permet de mettre en vente jusqu'à 10 objets sur le Marché{nl} - +3 à la vitesse de déplacement du personnage{nl} - +30 % d'EXP en chassant les monstres{nl} - Permet d'utiliser les Gestes Premium{nl} - Augmente le nombre maximum de buffs{nl} - Permet d'utiliser le Commerce personnel jusqu'à 30 fois{nl} - 1 entrée d'instance supplémentaire pour les missions et donjons	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 개인 거래 30회 가능{nl} - 개인 거래 횟수 30회{nl} - 미션,던전 1회 추가입장				
